"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","EXPTRANS11","Agriculture, Hunting and related services","Railage and transport out","South Africa","Current prices","R'000","Annually","2234254","2730952","2555463","3811815","4303764","4565994","4840378","5192289","5541898","6536771","8147812","7689460","8512981"
"P1101","Agricultural survey","EXPELECW11","Agriculture, Hunting and related services","Water and electricity","South Africa","Current prices","R'000","Annually","2078622","2591468","3365204","4763575","5270980","5994170","5466704","6216552","7639087","8011663","9124435","9990561","11003273"
"P1101","Agricultural survey","EXPRENT11","Agriculture, Hunting and related services","Rental of land, buildings and other structures under operating lease","South Africa","Current prices","R'000","Annually","1851074","2400653","2743046","3043665","3010121","3219008","3554496","4418499","5052756","5932207","8299664","7966926","9219414"
"P1101","Agricultural survey","EXPCONTR11","Agriculture, Hunting and related services","Services rendered by contractors,co-farmers, etc.","South Africa","Current prices","R'000","Annually","1329062","2108459","2895060","3867601","6742896","","3206545","2950308","3173091","","","",""
"P1101","Agricultural survey","EXPINSU11","Agriculture, Hunting and related services","Insurance","South Africa","Current prices","R'000","Annually","1628799","2021378","2109958","2290258","2329921","","3164618","3513998","3925152","4134050","4700212","5019186","5701222"
"P1101","Agricultural survey","EXPADV11","Agriculture, Hunting and related services","Advertising and marketing expenses","South Africa","Current prices","R'000","Annually","979324","1259192","1272116","1314250","1417460","","2394664","2386281","2610066","","","",""
"P1101","Agricultural survey","EXPSHFARM11","Agriculture, Hunting and related services","Share farming expenses","South Africa","Current prices","R'000","Annually","","","","","1614261","2011104","2104007","2502281","2756961","3007314","3219946","3873890","3813037"
"P1101","Agricultural survey","EXPLEASI11","Agriculture, Hunting and related services","Leasing and hiring of plant, machinery, equipment and vehicles","South Africa","Current prices","R'000","Annually","449788","581996","564201","703679","745921","1144326","1414763","1491258","1597784","","","",""
"P1101","Agricultural survey","EXPBANK11","Agriculture, Hunting and related services","Bank charges","South Africa","Current prices","R'000","Annually","","","","436768","455859","","597051","614531","702300","","","",""
"P1101","Agricultural survey","EXPLABOUR11","Agriculture, Hunting and related services","Payment to labour brokers","South Africa","Current prices","R'000","Annually","","","","","","","715555","1007295","993054","","","",""
"P1101","Agricultural survey","EXPSECURITY11","Agriculture, Hunting and related services","Security services and maintenance cost of security system","South Africa","Current prices","R'000","Annually","203547","246568","283136","","","","560844","646019","710845","","","",""
"P1101","Agricultural survey","EXPTEL11","Agriculture, Hunting and related services","Telecommunication services","South Africa","Current prices","R'000","Annually","","","","644725","653709","","706501","812052","858604","","","",""
"P1101","Agricultural survey","EXPSTORE11","Agriculture, Hunting and related services","Storage costs","South Africa","Current prices","R'000","Annually","","","","555027","365697","","","","","","","",""
"P1101","Agricultural survey","EXPFOREX11","Agriculture, Hunting and related services","Losses on financial and other assets, other liabilities and foreign exchange","South Africa","Current prices","R'000","Annually","","","","","","","2731384","","","","","",""
"P1101","Agricultural survey","EXPOTHER11","Agriculture, Hunting and related services","Other expenditure","South Africa","Current prices","R'000","Annually","4727091","6889322","7568779","6600232","10300647","34477428","14604752","16008944","18664676","32391342","37904543","44416301","48766646"
"P1101","Agricultural survey","FCAPTOT11","Agriculture, Hunting and related services","Total capital expenditure","South Africa","Current prices","R'000","Annually","7839348","10958419","11559142","11315832","15027751","18421470","19797717","21861678","23879466","28639574","23473483","27020853","32093742"
"P1101","Agricultural survey","FCAPLAND11","Agriculture, Hunting and related services","Land and buildings","South Africa","Current prices","R'000","Annually","2818476","2858773","3483194","3333465","4853935","5395148","4933851","5977921","6320869","7436244","5794406","8792310","7299223"
"P1101","Agricultural survey","FCAPMOTOR11","Agriculture, Hunting and related services","Motor vehicles, plant, tractors, machinery and other transport","South Africa","Current prices","R'000","Annually","4478161","7048906","6627701","7083092","8979513","11850829","13453307","14199570","15250568","18472593","13730575","14122339","19741181"
"P1101","Agricultural survey","FCAPOTH11","Agriculture, Hunting and related services","Other capital expenditure","South Africa","Current prices","R'000","Annually","542711","1050740","1448247","899275","1194303","1175493","1410559","1684187","2308029","2730737","3948502","4106204","5053338"
"P1101","Agricultural survey","FBVTOT11","Agriculture, Hunting and related services","Total land and book value of assets","South Africa","Current prices","R'000","Annually","108243398","118301406","119265018","115864760","116301624","123279336","127501157","147410488","168321172","180027342","215540504","221195676","240815084"
